TARGET_DATE,OPEN_d1,MA_d1,RSI_d1,MACD_d1,TREND_d1,NEWS ISSUE_d1,NEGATIVE_d1,NEUTRAL_d1,POSITIVE_d1,AVERAGE NEWS_d1,OPEN_d2,MA_d2,RSI_d2,MACD_d2,TREND_d2,NEWS ISSUE_d2,NEGATIVE_d2,NEUTRAL_d2,POSITIVE_d2,AVERAGE NEWS_d2,OPEN_d3,MA_d3,RSI_d3,MACD_d3,TREND_d3,NEWS ISSUE_d3,NEGATIVE_d3,NEUTRAL_d3,POSITIVE_d3,AVERAGE NEWS_d3,OPEN_d4,MA_d4,RSI_d4,MACD_d4,TREND_d4,NEWS ISSUE_d4,NEGATIVE_d4,NEUTRAL_d4,POSITIVE_d4,AVERAGE NEWS_d4,OPEN_d5,MA_d5,RSI_d5,MACD_d5,TREND_d5,NEWS ISSUE_d5,NEGATIVE_d5,NEUTRAL_d5,POSITIVE_d5,AVERAGE NEWS_d5
2023-01-05,16541.77,,,0.0,0.0,15.0,0.0,10.0,5.0,0.3333333333333333,16617.17,,,1.20296296296292,0.0,2.0,0.0,2.0,0.0,0.0,16672.78,,,3.981341774823232,0.0,8.0,0.0,5.0,3.0,0.375,16675.65,,,7.638228402066657,0.0,11.0,2.0,4.0,5.0,0.2727272727272727,16850.36,,,14.424033612560878,0.0,13.0,1.0,6.0,6.0,0.3846153846153846
2023-01-06,16617.17,,,1.20296296296292,0.0,2.0,0.0,2.0,0.0,0.0,16672.78,,,3.981341774823232,0.0,8.0,0.0,5.0,3.0,0.375,16675.65,,,7.638228402066657,0.0,11.0,2.0,4.0,5.0,0.2727272727272727,16850.36,,,14.424033612560878,0.0,13.0,1.0,6.0,6.0,0.3846153846153846,16831.85,,,22.48706972206386,0.0,6.0,2.0,2.0,2.0,0.0
2023-01-07,16672.78,,,3.981341774823232,0.0,8.0,0.0,5.0,3.0,0.375,16675.65,,,7.638228402066657,0.0,11.0,2.0,4.0,5.0,0.2727272727272727,16850.36,,,14.424033612560878,0.0,13.0,1.0,6.0,6.0,0.3846153846153846,16831.85,,,22.48706972206386,0.0,6.0,2.0,2.0,2.0,0.0,16950.31,,,32.76667927199294,0.0,14.0,1.0,7.0,6.0,0.3571428571428571
2023-01-08,16675.65,,,7.638228402066657,0.0,11.0,2.0,4.0,5.0,0.2727272727272727,16850.36,,,14.424033612560878,0.0,13.0,1.0,6.0,6.0,0.3846153846153846,16831.85,,,22.48706972206386,0.0,6.0,2.0,2.0,2.0,0.0,16950.31,,,32.76667927199294,0.0,14.0,1.0,7.0,6.0,0.3571428571428571,16943.83,,,43.718653487897306,0.0,7.0,1.0,5.0,1.0,0.0
2023-01-09,16850.36,,,14.424033612560878,0.0,13.0,1.0,6.0,6.0,0.3846153846153846,16831.85,,,22.48706972206386,0.0,6.0,2.0,2.0,2.0,0.0,16950.31,,,32.76667927199294,0.0,14.0,1.0,7.0,6.0,0.3571428571428571,16943.83,,,43.718653487897306,0.0,7.0,1.0,5.0,1.0,0.0,17127.83,,,57.353901145829056,0.0,13.0,2.0,8.0,3.0,0.0769230769230769
2023-01-10,16831.85,,,22.48706972206386,0.0,6.0,2.0,2.0,2.0,0.0,16950.31,,,32.76667927199294,0.0,14.0,1.0,7.0,6.0,0.3571428571428571,16943.83,,,43.718653487897306,0.0,7.0,1.0,5.0,1.0,0.0,17127.83,,,57.353901145829056,0.0,13.0,2.0,8.0,3.0,0.0769230769230769,17179.04,16839.059,,72.64249489898451,0.0,10.0,0.0,3.0,7.0,0.7
2023-01-11,16950.31,,,32.76667927199294,0.0,14.0,1.0,7.0,6.0,0.3571428571428571,16943.83,,,43.718653487897306,0.0,7.0,1.0,5.0,1.0,0.0,17127.83,,,57.353901145829056,0.0,13.0,2.0,8.0,3.0,0.0769230769230769,17179.04,16839.059,,72.64249489898451,0.0,10.0,0.0,3.0,7.0,0.7,17440.64,16928.946000000004,97.36628550350407,92.17402887997976,1.0,9.0,0.0,7.0,2.0,0.2222222222222222
2023-01-12,16943.83,,,43.718653487897306,0.0,7.0,1.0,5.0,1.0,0.0,17127.83,,,57.353901145829056,0.0,13.0,2.0,8.0,3.0,0.0769230769230769,17179.04,16839.059,,72.64249489898451,0.0,10.0,0.0,3.0,7.0,0.7,17440.64,16928.946000000004,97.36628550350407,92.17402887997976,1.0,9.0,0.0,7.0,2.0,0.2222222222222222,17943.26,17061.555,98.1839586648934,121.15000560106245,1.0,13.0,1.0,6.0,6.0,0.3846153846153846
2023-01-13,17127.83,,,57.353901145829056,0.0,13.0,2.0,8.0,3.0,0.0769230769230769,17179.04,16839.059,,72.64249489898451,0.0,10.0,0.0,3.0,7.0,0.7,17440.64,16928.946000000004,97.36628550350407,92.17402887997976,1.0,9.0,0.0,7.0,2.0,0.2222222222222222,17943.26,17061.555,98.1839586648934,121.15000560106245,1.0,13.0,1.0,6.0,6.0,0.3846153846153846,18846.62,17278.939000000002,98.87625797051912,168.66306330981075,1.0,12.0,3.0,5.0,4.0,0.0833333333333333
2023-01-14,17179.04,16839.059,,72.64249489898451,0.0,10.0,0.0,3.0,7.0,0.7,17440.64,16928.946000000004,97.36628550350407,92.17402887997976,1.0,9.0,0.0,7.0,2.0,0.2222222222222222,17943.26,17061.555,98.1839586648934,121.15000560106245,1.0,13.0,1.0,6.0,6.0,0.3846153846153846,18846.62,17278.939000000002,98.87625797051912,168.66306330981075,1.0,12.0,3.0,5.0,4.0,0.0833333333333333,19930.01,17604.375,99.2437218930255,242.2045287245343,1.0,16.0,0.0,13.0,3.0,0.1875
2023-01-15,17440.64,16928.946000000004,97.36628550350407,92.17402887997976,1.0,9.0,0.0,7.0,2.0,0.2222222222222222,17943.26,17061.555,98.1839586648934,121.15000560106245,1.0,13.0,1.0,6.0,6.0,0.3846153846153846,18846.62,17278.939000000002,98.87625797051912,168.66306330981075,1.0,12.0,3.0,5.0,4.0,0.0833333333333333,19930.01,17604.375,99.2437218930255,242.2045287245343,1.0,16.0,0.0,13.0,3.0,0.1875,20952.76,18014.615,99.39817646747164,343.9702765002386,1.0,9.0,1.0,7.0,1.0,0.0
2023-01-16,17943.26,17061.555,98.1839586648934,121.15000560106245,1.0,13.0,1.0,6.0,6.0,0.3846153846153846,18846.62,17278.939000000002,98.87625797051912,168.66306330981075,1.0,12.0,3.0,5.0,4.0,0.0833333333333333,19930.01,17604.375,99.2437218930255,242.2045287245343,1.0,16.0,0.0,13.0,3.0,0.1875,20952.76,18014.615,99.39817646747164,343.9702765002386,1.0,9.0,1.0,7.0,1.0,0.0,20872.99,18418.729,97.95307620015008,456.0350674074028,1.0,9.0,2.0,3.0,4.0,0.2222222222222222
