date,open_d-4,MA_d-4,RSI_d-4,MACD_d-4,trend_d-4,issue_news_d-4,negative_sentiment_news_d-4,neutral_sentiment_news_d-4,positive_sentiment_news_d-4,average_news_d-4,open_d-3,MA_d-3,RSI_d-3,MACD_d-3,trend_d-3,issue_news_d-3,negative_sentiment_news_d-3,neutral_sentiment_news_d-3,positive_sentiment_news_d-3,average_news_d-3,open_d-2,MA_d-2,RSI_d-2,MACD_d-2,trend_d-2,issue_news_d-2,negative_sentiment_news_d-2,neutral_sentiment_news_d-2,positive_sentiment_news_d-2,average_news_d-2,open_d-1,MA_d-1,RSI_d-1,MACD_d-1,trend_d-1,issue_news_d-1,negative_sentiment_news_d-1,neutral_sentiment_news_d-1,positive_sentiment_news_d-1,average_news_d-1,open_d0,MA_d0,RSI_d0,MACD_d0,trend_d0,issue_news_d0,negative_sentiment_news_d0,neutral_sentiment_news_d0,positive_sentiment_news_d0,average_news_d0,target_trend
2023-01-15,17440.64,16928.946000000004,97.36628550350407,92.17402887997977,0.0,9.0,0.0,7.0,2.0,0.2222222222222222,17943.26,17061.555,98.3420869315228,121.15000560106245,0.0,13.0,1.0,6.0,6.0,0.38461538461538464,18846.62,17278.939000000002,99.04712005654599,168.66306330981075,0.0,12.0,3.0,5.0,4.0,0.08333333333333333,19930.01,17604.375,99.39177954839359,242.2045287245343,0.0,16.0,0.0,13.0,3.0,0.1875,20952.76,18014.614999999998,99.5590679638283,343.9702765002386,0.0,9.0,1.0,7.0,1.0,0.0,1
2023-01-16,17943.26,17061.555,98.3420869315228,121.15000560106245,0.0,13.0,1.0,6.0,6.0,0.38461538461538464,18846.62,17278.939000000002,99.04712005654599,168.66306330981075,0.0,12.0,3.0,5.0,4.0,0.08333333333333333,19930.01,17604.375,99.39177954839359,242.2045287245343,0.0,16.0,0.0,13.0,3.0,0.1875,20952.76,18014.614999999998,99.5590679638283,343.9702765002386,0.0,9.0,1.0,7.0,1.0,0.0,20872.99,18418.729,97.24123096797845,456.0350674074028,1.0,9.0,2.0,3.0,4.0,0.2222222222222222,1
2023-01-17,18846.62,17278.939000000002,99.04712005654599,168.66306330981075,0.0,12.0,3.0,5.0,4.0,0.08333333333333333,19930.01,17604.375,99.39177954839359,242.2045287245343,0.0,16.0,0.0,13.0,3.0,0.1875,20952.76,18014.614999999998,99.5590679638283,343.9702765002386,0.0,9.0,1.0,7.0,1.0,0.0,20872.99,18418.729,97.24123096797845,456.0350674074028,1.0,9.0,2.0,3.0,4.0,0.2222222222222222,21185.65,18842.263,97.49519181351855,572.6293890333809,1.0,12.0,0.0,10.0,2.0,0.16666666666666666,1
2023-01-18,19930.01,17604.375,99.39177954839359,242.2045287245343,0.0,16.0,0.0,13.0,3.0,0.1875,20952.76,18014.614999999998,99.5590679638283,343.9702765002386,0.0,9.0,1.0,7.0,1.0,0.0,20872.99,18418.729,97.24123096797845,456.0350674074028,1.0,9.0,2.0,3.0,4.0,0.2222222222222222,21185.65,18842.263,97.49519181351855,572.6293890333809,1.0,12.0,0.0,10.0,2.0,0.16666666666666666,21132.29,19261.109,95.8224849490816,683.7941999157534,1.0,16.0,1.0,7.0,8.0,0.4375,1
2023-01-19,20952.76,18014.614999999998,99.5590679638283,343.9702765002386,0.0,9.0,1.0,7.0,1.0,0.0,20872.99,18418.729,97.24123096797845,456.0350674074028,1.0,9.0,2.0,3.0,4.0,0.2222222222222222,21185.65,18842.263,97.49519181351855,572.6293890333809,1.0,12.0,0.0,10.0,2.0,0.16666666666666666,21132.29,19261.109,95.8224849490816,683.7941999157534,1.0,16.0,1.0,7.0,8.0,0.4375,20677.47,19616.073,82.42888587683377,776.913562810201,1.0,19.0,3.0,7.0,9.0,0.3157894736842105,1
2023-01-20,20872.99,18418.729,97.24123096797845,456.0350674074028,1.0,9.0,2.0,3.0,4.0,0.2222222222222222,21185.65,18842.263,97.49519181351855,572.6293890333809,1.0,12.0,0.0,10.0,2.0,0.16666666666666666,21132.29,19261.109,95.8224849490816,683.7941999157534,1.0,16.0,1.0,7.0,8.0,0.4375,20677.47,19616.073,82.42888587683377,776.913562810201,1.0,19.0,3.0,7.0,9.0,0.3157894736842105,21071.59,20005.328,84.51309338368246,858.3581288817163,1.0,15.0,0.0,10.0,5.0,0.3333333333333333,1
2023-01-21,21185.65,18842.263,97.49519181351855,572.6293890333809,1.0,12.0,0.0,10.0,2.0,0.16666666666666666,21132.29,19261.109,95.8224849490816,683.7941999157534,1.0,16.0,1.0,7.0,8.0,0.4375,20677.47,19616.073,82.42888587683377,776.913562810201,1.0,19.0,3.0,7.0,9.0,0.3157894736842105,21071.59,20005.328,84.51309338368246,858.3581288817163,1.0,15.0,0.0,10.0,5.0,0.3333333333333333,22666.0,20527.863999999998,89.89880777014862,951.6972082869445,1.0,8.0,0.0,3.0,5.0,0.625,1
2023-01-22,21132.29,19261.109,95.8224849490816,683.7941999157534,1.0,16.0,1.0,7.0,8.0,0.4375,20677.47,19616.073,82.42888587683377,776.913562810201,1.0,19.0,3.0,7.0,9.0,0.3157894736842105,21071.59,20005.328,84.51309338368246,858.3581288817163,1.0,15.0,0.0,10.0,5.0,0.3333333333333333,22666.0,20527.863999999998,89.89880777014862,951.6972082869445,1.0,8.0,0.0,3.0,5.0,0.625,22783.35,21011.873,90.17813493730691,1047.3016897028024,1.0,10.0,0.0,8.0,2.0,0.2,1
2023-01-23,20677.47,19616.073,82.42888587683377,776.913562810201,1.0,19.0,3.0,7.0,9.0,0.3157894736842105,21071.59,20005.328,84.51309338368246,858.3581288817163,1.0,15.0,0.0,10.0,5.0,0.3333333333333333,22666.0,20527.863999999998,89.89880777014862,951.6972082869445,1.0,8.0,0.0,3.0,5.0,0.625,22783.35,21011.873,90.17813493730691,1047.3016897028024,1.0,10.0,0.0,8.0,2.0,0.2,22706.02,21397.813,88.38852317564329,1135.69356893212,1.0,9.0,0.0,7.0,2.0,0.2222222222222222,1
2023-01-24,21071.59,20005.328,84.51309338368246,858.3581288817163,1.0,15.0,0.0,10.0,5.0,0.3333333333333333,22666.0,20527.863999999998,89.89880777014862,951.6972082869445,1.0,8.0,0.0,3.0,5.0,0.625,22783.35,21011.873,90.17813493730691,1047.3016897028024,1.0,10.0,0.0,8.0,2.0,0.2,22706.02,21397.813,88.38852317564329,1135.69356893212,1.0,9.0,0.0,7.0,2.0,0.2222222222222222,22917.81,21696.593,89.0498161633068,1215.7215908565836,1.0,5.0,0.0,4.0,1.0,0.2,1
